Band Name,Dates,Tour Citites,"Actual Venues, Size, Genre","Algorithm-determined venues, Size, Genre"
Cayetana,3-Oct-17,"Jacksonville, FL","['Nighthawks (Archetype)', ['', '']]","['Jack Rabbits', [0.76, 39375.2], [[[8, 8, 8], [8, 8, 8]], [8, 8, 8]]]"
Charly Bliss,12-Dec-20,"Columbus, OH","['Rumba Café', [214041.75, [9, 8]]]","['Ace of Cups', [0.73, 31678.5], [1, 6], 'Woodlands Tavern', [0.59, 25752.2], [2, 9, 8]]"
Charly Bliss,28-Dec-19,"Chicago, IL","['Lincoln Hall', ['', '']]","['Hey Nonny Live Music + Local Kitchen', [0.77, 33626.0], [5]]"
Charly Bliss,14-Nov-19,"Philadelphia, PA","['The Foundry', ['', '']]","['Kung Fu Necktie', [0.61, 26336.0], [8]]"
Charly Bliss,13-Nov-19,"New York, NY","['Webster Hall', ['', '']]","['Mercury Lounge', [0.42, 18022.5], [3, 8], 'Music Hall of Williamsburg', [0.66, 58136.0], [8], 'The Stone Pony', [0.66, 58136.0], [8]]"
Charly Bliss,5-Oct-19,"Eugene, OR","['WOW Hall', ['', '']]","['Camp Tadmor', [0.77, 53302.0], [5]]"
Charly Bliss,3-Oct-19,"Sacramento, CA","['Holy Driver', ['', '']]",[]
Charly Bliss,2-Oct-19,"Fresno, CA","['Strummer’s', ['', '']]",[]
Charly Bliss,1-Oct-19,"San Luis Obispo, CA","['SLO Brew Rock', [54.0, []]]","['Unknown venue', [0.52, 22683.0], [8]]"
Charly Bliss,21-Sep-19,"Lincoln, NE","['Lincoln Calling', ['', '']]",[]
Charly Bliss,20-Sep-19,"Iowa City, IA","['Gabe’s Oasis', ['', '']]",[]
Moon Taxi,"February 8th, 2020","Macon, GA","['Hargray Capital Theater', ['', '']]","['37 Main Avondale Estates', [0.46, 244911.0], [5]]"
Moon Taxi,"February 6th, 2020","Athens, GA","['Georgia Theater', ['', '']]","['37 Main Avondale Estates', [0.46, 244911.0], [5]]"
Moon Taxi,"December 21st, 2019","Pelham, TN","['The Cavers', ['', '']]","['The Signal', [0.7, 111643.58333333333], [[[9, 9, 9, 9, 1, 8, 9, 8, 4], [9, 9, 9, 9, 1, 8, 9, 8, 4]], [9, 9, 9, 9, 1, 8, 9, 8, 4]], 'The Caverns', [0.94, 169038.42857142858], [[[6, 8, 8, 8, 6], [6, 8, 8, 8, 6]], [6, 8, 8, 8, 6]]]"
Moon Taxi,"August 10th, 2019","Littleton, CO","['Breckenridge Brewery', ['', '']]",[]
Moon Taxi,"August 9th, 2019","Brevard, NC","['Oskar Blues REEB Ranch', ['', '']]",[]
Moon Taxi,"July 13th, 2019","Louisville, KY","['Belle of Louisville', ['', '']]","['Diamonds Bar & Grill - Highlands', [0.93, 147963.25], [1, 9, 4], 'Headliners Music Hall', [0.6, 95327.5], [[[8, 8, 1], [8, 8, 1]], [8, 8, 1]]]"
Moon Taxi,"July 7th, 2019","Milwaukee, WI","['Hacienda Brewing Company', ['', '']]","['River Shores Church', [0.59, 224462.0], [5], 'Fox Cities PAC', [0.49, 78091.0], [5], 'Fox River Christian Church', [0.9, 143816.0], [5], 'Cup O Joy', [0.87, 138785.0], [5]]"
Moon Taxi,"April 25th, 2019","Nashville, TN","['Riverfront Park', ['', '']]","['City Winery', [0.59, 94594.25], [[8, 5, 9, 6], [8, 5, 9, 6]]]"
Moon Taxi,"April 19th, 2019","Knoxville, TN","['The Mill & Mine', [133.0, []]]","['Orange Peel', [0.52, 82240.25], [8]]"
Moon Taxi,"April 7th, 2019","Aspen, CO","['Belly Up', ['', '']]",[]
Abandoned by Bears,25-Oct-18,"Nashville, TN","['The End', ['', '']]","['The Warehouse', [0.98, 15828.0], [1]]"
Abandoned by Bears,24-Oct-18,"Newport, KY","['Thompson House', ['', '']]",[]
Abandoned by Bears,23-Oct-18,"Lakewood, OH","[""Mahall's Locker Room"", ['', '']]","['Beachland Tavern', [0.82, 12816.666666666666], [1, 9], 'MGM Northfield Park - Neon Room', [0.41, 6418.0], [1]]"
Abandoned by Bears,22-Oct-18,"Fort Wayne, IN","['The Glory Hub', ['', '']]","['The Vibes Venue', [0.57, 8882.0], [1]]"
Abandoned by Bears,21-Oct-18,"Columbus, OH","['Big Room Bar', ['', '']]",[]
Abandoned by Bears,20-Oct-18,"Indianapolis, IN","['Hoosier Dome', ['', '']]",[]
Abandoned by Bears,19-Oct-18,"Warren, MI","['The Hot Rock Bar', ['', '']]",[]
